row	matches	fingerprint
L1	34	053005f449371b9b
L2	2	c4e71c517c99ec92
L3	2	545b1c56475c673a
L4	2	fb61c40598e7c4cf
L5	6	b46261a234bdb6f2
L6	2	9bb863d5a9f4fbf3
L7	32	e84411cb3deaf24f
L8	35	73302194b5205f66
L9	62	4b6539398fe002fe
L10	2	addeac26a586f63d
L11	398	394475d083bf564c
L12	6	e342ce4d85b671d2
L13	14	62fb1c19e65df4bf
L14	30	fee58405513a75c9
L15	50	6e631d17a97e16be
L16	39	2ad8f399ffb85d84
L17	140	64e551668abbfb41
L18	600	01fa0e87832ce42d
L19	53	264991219cbaf088
L20	4	888270a7fe4f6b65
L21	69	e24a94fa64b128a3
L22	5	1a6fc3df4b34eaab
L23	27	98bd78a4a1e025ce
L24	14	1ad133e28519ce45
L25	126	1736fbb5a696bf17
L26	22	7530557be8a2ece0
L27	159	ad92d2e1c6382833
L28	9	490decbc955d208e
L29	82	1cdc0da310e754fc
L30	87	511026e43270ae38
L31	148	5868e35234d19e66
L32	3	67637206a30e9f30
J1	411	a9151d2681c729be
J2	60	5072379332d201fb
J3	28	109275d1a633e55b
J4	8	8e77da5e8d59fd28
J5	41	68fcd6d17ed2314d
J6	27	58ca7e37abfb6dc7
J7	18	95b1e3654a37b00b
J8	74	5940f0f792018d53
J9	7	44712a47dea6e0d5
J10	3	715aa4c773a64fea
J11	0	e3b0c44298fc1c14
J12	51	6e16813474f330fa
J13	12	406d8570f2750515
J14	1	af0784ffcfdc091e
J15	118	b519190d466f0c9d
J16	2	e12c3bea1aa509e4
J17	10	d5030a6874c0961d
J18	12	75d995aaf7dd7bde
J19	7	58a910611966bbbf
J20	8	a2e0753fbac7a744
J21	37	7f2a0fd73decd6c4
J22	5	007143f72484678c
J23	5	afd5b8da6e41f4ae
C1	10	999b430dae9e48a1
C2	3	df96319cd405cfa3
C3	3	8ff5d55b864628b8
C4	1	3c1dc2dfbc1ade16
C5	28	58655c1f8b5869a6
C6	10	9e90f4e8ba32f774
C7	2	a8ce63902f9f7282
C8	2	9e915142d0c2077f
C9	4	c29897db29c66d44
C10	24	344c6a727fc6f284
C11	23	3e98ec8e968dd931
C12	1155	fa99f224acb1622a
C13	18	2a64b6c70408250e
C14	0	e3b0c44298fc1c14
C15	2760	744a518eb0336658
C16	2	79f95d0861a59b8e
C17	72	60841ff9556a23bf
C18	283	9ef7719e4b78f8e5
C19	14	eff95b4474923b35
